feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
234,manhole,6050037.098536654,2136007.440131441,90.27722901416386,8,68,0.173,37.69,0.95,0.682,7
235,manhole,6049969.574115543,2135823.2330253087,87.01676386642,5,4,0.077,18.25,0.96,0.576,5
236,manhole,6049933.777647825,2135741.0609426103,85.64438142490775,8,22,0.071,31.76,0.98,0.721,8
237,manhole,6049811.511249291,2135627.5023480817,83.22662817797838,8,21,0.213,71.69,0.93,0.659,8
238,manhole,6049715.602396519,2135626.5924522956,81.95541643408139,4,4,0.129,42.28,0.96,0.668,4
239,manhole,6049682.446837069,2135722.500256329,81.93650512130456,5,8,0.086,94.21,0.97,0.6,5
240,manhole,6049674.290773542,2135824.684887978,82.75382877370224,7,17,0.153,86.46,0.95,0.742,7
241,manhole,6049648.425552369,2135870.420864653,81.81592500443318,4,3,0.1,29.97,0.97,0.658,4
242,manhole,6049756.090144333,2135931.842783303,84.42103736192952,4,4,0.136,37.99,0.96,0.647,4
243,manhole,6050041.294440287,2135970.55841388,90.15549768243305,4,4,0.089,71.9,0.97,0.65,4
